# This file contains the Hydromet CBTT-PCODE datasets that will be 
#	processed for the RISE json-file payload
#
#	CBTT: The Hydromet CBTT code (gcl, luc, jck, etc)
#	PCODE: The Hydromet PCODE (fb, af, qd, etc)
#	RESULT-TYPE: RISE can accept observed or modeled
#	UNITS: The data units (cfs, acre-feet, etc)
#	TIMESTEP: instant, daily, or monthly	
#
# POC: Jon Rocha, jrocha@usbr.gov
#CBTT, PCODE, RESULT-TYPE, UNITS, TIMESTEP
aga,af,observed,acre-feet,daily
aga,af,observed,acre-feet,monthly
aga,fb,observed,feet,daily
aga,fb,observed,feet,monthly
aga,gh,observed,feet,instant
aga,im,observed,1000 af,monthly
aga,mm,observed,degF,daily
aga,mn,observed,degF,daily
aga,mx,observed,degF,daily
aga,ob,observed,degF,instant
aga,om,observed,1000 af,monthly
aga,pc,observed,inches,instant
aga,pm,observed,inches,monthly
aga,pp,observed,inches,daily
aga,pu,observed,inches,daily
aga,q,observed,cfs,instant
aga,qc,observed,cfs,instant
aga,qd,observed,cfs,daily
aga,qj,observed,cfs,daily
aga,qr,observed,cfs,daily
aga,qrd,observed,cfs,daily
aga,qs,observed,cfs,daily
aga,qsd,observed,cfs,daily
amf,af,observed,acre-feet,daily
amf,af,observed,acre-feet,monthly
amf,fb,observed,feet,daily
amf,fb,observed,feet,monthly
amf,id,observed,cfs,daily
amf,im,observed,1000 af,monthly
amf,mm,observed,degF,daily
amf,mn,observed,degF,daily
amf,mx,observed,degF,daily
amf,ob,observed,degF,instant
amf,om,observed,1000 af,monthly
amf,pc,observed,inches,instant
amf,pm,observed,inches,monthly
amf,pp,observed,inches,daily
amf,pu,observed,inches,daily
amf,qm,observed,1000 af,monthly
and,af,observed,acre-feet,daily
and,af,observed,acre-feet,monthly
and,fb,observed,feet,daily
and,fb,observed,feet,monthly
and,gh,observed,feet,instant
and,im,observed,1000 af,monthly
and,mm,observed,degF,daily
and,mn,observed,degF,daily
and,mx,observed,degF,daily
and,ob,observed,degF,instant
and,om,observed,1000 af,monthly
and,pc,observed,inches,instant
and,pm,observed,inches,monthly
and,pp,observed,inches,daily
and,pu,observed,inches,daily
and,qm,observed,1000 af,monthly
and,qv,observed,cfs,daily
and,ud,observed,degAz,daily
and,wd,observed,degAz,instant
and,wf,observed,degF,instant
and,ws,observed,mph,instant
and,wz,observed,degF,instant
